År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,0184 Solna,< 20 kw,7,0.07
2016,0184 Solna,20 kW - 1 000 kW,5,0.22
2016,0184 Solna,> 1 000 kW,0,0
2016,0184 Solna,Totalt,12,0.29
2016,0186 Lidingö,< 20 kw,19,0.16
2016,0186 Lidingö,20 kW - 1 000 kW,0,0
2016,0186 Lidingö,> 1 000 kW,0,0
2016,0186 Lidingö,Totalt,19,0.16
2016,0187 Vaxholm,< 20 kw,16,0.11
2016,0187 Vaxholm,20 kW - 1 000 kW,0,0
2016,0187 Vaxholm,> 1 000 kW,0,0
2016,0187 Vaxholm,Totalt,16,0.11
2016,0188 Norrtälje,< 20 kw,76,0.57
2016,0188 Norrtälje,20 kW - 1 000 kW,4,0.47
2016,0188 Norrtälje,> 1 000 kW,0,0
2016,0188 Norrtälje,Totalt,80,1.05
2016,0191 Sigtuna,< 20 kw,18,0.14
2016,0191 Sigtuna,20 kW - 1 000 kW,8,0.36
2016,0191 Sigtuna,> 1 000 kW,0,0
2016,0191 Sigtuna,Totalt,26,0.5
2016,0192 Nynäshamn,< 20 kw,19,0.09
2016,0192 Nynäshamn,20 kW - 1 000 kW,1,0.02
2016,0192 Nynäshamn,> 1 000 kW,0,0
2016,0192 Nynäshamn,Totalt,20,0.11
2016,0305 Håbo,< 20 kw,16,0.14
2016,0305 Håbo,20 kW - 1 000 kW,7,0.27
2016,0305 Håbo,> 1 000 kW,0,0
2016,0305 Håbo,Totalt,23,0.41
2016,0319 Älvkarleby,< 20 kw,7,0.04
2016,0319 Älvkarleby,20 kW - 1 000 kW,0,0
2016,0319 Älvkarleby,> 1 000 kW,0,0
2016,0319 Älvkarleby,Totalt,7,0.04
2016,0330 Knivsta,< 20 kw,25,0.16
2016,0330 Knivsta,20 kW - 1 000 kW,2,0.07
2016,0330 Knivsta,> 1 000 kW,0,0
2016,0330 Knivsta,Totalt,27,0.23
2016,0331 Heby,< 20 kw,24,0.17
2016,0331 Heby,20 kW - 1 000 kW,7,0.59
2016,0331 Heby,> 1 000 kW,0,0
2016,0331 Heby,Totalt,31,0.76
2016,0360 Tierp,< 20 kw,12,0.11
2016,0360 Tierp,20 kW - 1 000 kW,3,0.08
2016,0360 Tierp,> 1 000 kW,0,0
2016,0360 Tierp,Totalt,15,0.19
2016,0380 Uppsala,< 20 kw,262,2
2016,0380 Uppsala,20 kW - 1 000 kW,50,2.43
